rtm_id,source_family,section_hint,proposed_role,parent_candidates,dependency_type,lifecycle_gate,evidence_class,evidence_object_id,source_reentry_status,star_S,star_T,star_A,star_R,review_action,confidence,rationale
RTM-502,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-502-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-503,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-503-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-504,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-504-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-505,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-505-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-506,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-506-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-507,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-507-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-508,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-508-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-509,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-509-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-510,SAT_FUNCTIONAL_ABNORMAL,4.13.3.1,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-510-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-511,SAT_FUNCTIONAL_ABNORMAL,4.13.3.2,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-511-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-512,SAT_FUNCTIONAL_ABNORMAL,4.13.3.2,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-512-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-513,SAT_FUNCTIONAL_ABNORMAL,4.13.3.2,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-513-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-514,SAT_FUNCTIONAL_ABNORMAL,4.13.3.2,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-514-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-515,SAT_FUNCTIONAL_ABNORMAL,4.13.3.2,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-515-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-516,SAT_FUNCTIONAL_ABNORMAL,4.13.3.2,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-516-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-517,SAT_FUNCTIONAL_ABNORMAL,4.13.3.2,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-517-SAT-FUNCTIONAL,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_FUNCTION_ALLOW_APPROVED_SAFE_EQUIVALENT_METHOD,HIGH,"Source-bound SAT functional/abnormal demonstration family for scenarios, logic/interlocks, utility stress, safety functions, WCS, QRB and abnormal events."
RTM-518,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_DECOMPOSITION_PARENT,RTM-499,DECOMPOSES,L6_SAT,B,EO-SAT-PERFORMANCE,SOURCE_BOUND_W116_W307,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_SITE_PERFORMANCE_CAPACITY_PREDICATE,HIGH,Source-bound SAT performance/capacity umbrella beneath the general SAT requirement.
RTM-519,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-519-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-520,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-520-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-521,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-521-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-522,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-522-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-523,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-523-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-524,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-524-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-525,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-525-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-526,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-526-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-527,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-527-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-528,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-528-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-529,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-529-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-530,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-530-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-531,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-531-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-532,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-532-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-533,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-533-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-534,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-534-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-535,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-535-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-536,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-536-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-537,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-537-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-538,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-538-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-539,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-539-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-540,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-540-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-541,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-541-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-542,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-542-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-543,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-543-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-544,SAT_PERFORMANCE_CAPACITY,4.13.3.3,VERIFICATION_CHILD,RTM-518,VERIFIES,L6_SAT,B,EO-RTM-544-SAT-PERFORMANCE,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_TEST_BURDEN_PROPORTIONALITY,KEEP_PERFORMANCE_PREDICATE_REVIEW_TEST_BURDEN_ONLY,HIGH,Source-bound SAT performance/capacity/process/energy verification family; exact test predicate retained while method/burden may be reviewed.
RTM-545,SAT_OPERATING_PROCEDURES_CIS,4.13.3.4,VERIFICATION_CHILD,RTM-499,VERIFIES,L6_SAT,B,EO-RTM-545-SAT-CIS,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,REVIEW_SAFE_EQUIVALENT_METHOD,KEEP_INSTALLED_PROCEDURE_AND_CONTROL_BEHAVIOUR_PROOF,HIGH,Source-bound SAT operating-procedure and control-system behaviour verification family.
